Source Table,LGA,Year-Quarter,PTB Total Actual and Forecast,PTB Total Actual and Forecast  Lower  95%,PTB Total Actual and Forecast  Upper  95%,EPTB Total Actual and Forecast,EPTB Total Actual and Forecast  Lower  95%,EPTB Total Actual and Forecast  Upper  95%,lab diagnosed Actual and Forecast,lab diagnosed Actual and Forecast  Lower  95%,lab diagnosed Actual and Forecast  Upper  95%,clinically diagnosed Actual and Forecast,clinically diagnosed Actual and Forecast  Lower  95%,clinically diagnosed Actual and Forecast  Upper  95%,Total TB Cases notified Actual and Forecast,Total TB Cases notified Actual and Forecast  Lower  95%,Total TB Cases notified Actual and Forecast  Upper  95%
Original Data,Kajuru,2020Q4,29,,,0,,,23,,,6,,,29,,
Original Data,Kaura,2020Q1,19,,,0,,,16,,,3,,,19,,
Original Data,Kaura,2020Q2,20,,,0,,,18,,,2,,,20,,
Original Data,Kaura,2020Q3,18,,,0,,,15,,,3,,,18,,
Original Data,Kaura,2020Q4,20,,,0,,,15,,,5,,,20,,
Original Data,Kauru,2020Q1,20,,,0,,,20,,,0,,,20,,
Original Data,Kauru,2020Q2,22,,,0,,,22,,,0,,,22,,
Original Data,Kauru,2020Q3,32,,,0,,,30,,,2,,,32,,
Original Data,Kauru,2020Q4,78,,,0,,,78,,,0,,,78,,
Original Data,Kubau,2020Q1,16,,,1,,,14,,,3,,,17,,
Original Data,Kubau,2020Q2,21,,,0,,,18,,,3,,,21,,
Original Data,Kubau,2020Q3,29,,,0,,,29,,,0,,,29,,
Original Data,Kubau,2020Q4,33,,,0,,,33,,,0,,,33,,
Original Data,Kudan,2020Q1,18,,,1,,,13,,,6,,,19,,
Original Data,Kudan,2020Q2,10,,,0,,,7,,,3,,,10,,
Original Data,Kudan,2020Q3,22,,,0,,,21,,,1,,,22,,
Original Data,Kudan,2020Q4,29,,,0,,,25,,,4,,,29,,
Original Data,Lere,2020Q1,32,,,0,,,30,,,2,,,32,,
Original Data,Lere,2020Q2,28,,,0,,,25,,,3,,,28,,
Original Data,Lere,2020Q3,30,,,0,,,19,,,11,,,30,,
Original Data,Lere,2020Q4,47,,,1,,,38,,,10,,,48,,
Original Data,Makarfi,2020Q1,34,,,0,,,21,,,13,,,34,,
Original Data,Makarfi,2020Q2,34,,,1,,,24,,,11,,,35,,
Original Data,Makarfi,2020Q3,35,,,0,,,17,,,18,,,35,,
Original Data,Makarfi,2020Q4,60,,,0,,,37,,,23,,,60,,
Original Data,Sabon Gari,2020Q1,45,,,0,,,36,,,9,,,45,,
Original Data,Sabon Gari,2020Q2,70,,,0,,,47,,,23,,,70,,
Original Data,Sabon Gari,2020Q3,79,,,0,,,74,,,5,,,79,,
Original Data,Sabon Gari,2020Q4,87,,,0,,,70,,,17,,,87,,
Original Data,Sanga,2020Q1,31,,,0,,,22,,,9,,,31,,
Original Data,Sanga,2020Q2,20,,,1,,,17,,,4,,,21,,
