Year,Quarter,LGA,Total number of presumptives,PresumptiveDS-TB,PresumptiveDR-TB,Examined for diagnosis,Total Examined with Xpert,Total Examined with Truenat,Total Examined with AFB,Total Examined with TB LAMP,Total Examined with LF-LAM and others,Screened with X-ray,MTB Detected,Truenat Positive,Smear Positive,TB Lamp Positive,LF LAM Positive,Chest X-ray Suggestive,Other Clinical Dianosis,Total Diagnosed,Rifampicin Resistant,HIV Positive,HIV Negative,HIV Unknown,No. of Presumptives that are HCWs,Referred from the community,Referred from the PPM,No of Presumptive that are tested for COVID-19,No of Presumptive that are Positive for COVID-19
2023,2,Soba,1067,1063,4,1068,798,0,209,0,0,61,62,0,17,0,0,9,6,94,0,0,669,398,0,148,654,0,0
2023,3,Soba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4,Soba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,Zangon kataf,1855,1855,0,1855,1002,0,482,0,0,371,102,0,38,0,0,0,63,203,0,14,1841,0,0,1078,661,0,0
2023,2,Zangon kataf,1889,1889,0,1889,733,0,613,0,0,543,106,0,48,0,0,64,0,218,0,21,1868,0,0,1276,533,0,0
2023,3,Zangon kataf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4,Zangon kataf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,Zaria,5668,5668,0,5615,3871,0,854,0,0,890,519,0,109,0,0,139,0,767,0,9,5659,0,0,5546,146,0,0
2023,2,Zaria,7299,7244,55,7244,4556,0,1600,58,0,1030,454,0,172,5,0,174,0,805,4,10,7289,0,0,4205,2498,0,0
2023,3,Zaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4,Zaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
