Year,Quarter,LGA,Sex,0-4,5-14,15-24,25-34,35-44,45-54,55-64,>=65,Total,Year_Quarter,,
2020,2,Birnin-Gwari,Male,0,0,2,2,4,1,1,0,10,2020 Q2,,
2020,2,Birnin-Gwari,Female,0,1,0,1,1,1,0,0,4,2020 Q2,,
2020,2,Chikun,Male,0,0,5,12,18,9,3,3,50,2020 Q2,,
2020,2,Chikun,Female,0,0,4,4,2,1,0,1,12,2020 Q2,,
2020,2,Giwa,Male,7,6,1,1,2,2,0,0,19,2020 Q2,,
2020,2,Giwa,Female,4,3,0,3,1,1,1,1,14,2020 Q2,,
2020,2,Igabi,Male,0,1,7,10,4,4,2,2,30,2020 Q2,,
2020,2,Igabi,Female,0,0,4,4,3,2,0,0,13,2020 Q2,,
2020,2,Ikara,Male,0,0,3,6,4,1,0,0,14,2020 Q2,,
2020,2,Ikara,Female,0,0,1,2,1,0,1,0,5,2020 Q2,,
2020,2,Jaba,Male,0,0,1,0,1,5,1,2,10,2020 Q2,,
2020,2,Jaba,Female,0,0,0,0,1,2,0,0,3,2020 Q2,,
2020,2,Jema'a,Male,0,0,3,6,7,6,5,1,28,2020 Q2,,
2020,2,Jema'a,Female,0,0,1,3,3,3,0,1,11,2020 Q2,,
2020,2,Kachia,Male,0,2,2,7,19,23,15,5,73,2020 Q2,,
2020,2,Kachia,Female,0,0,1,9,14,20,10,0,54,2020 Q2,,
2020,2,Kaduna North,Male,1,0,21,38,16,14,5,2,97,2020 Q2,,
2020,2,Kaduna North,Female,0,1,21,42,17,11,1,0,93,2020 Q2,,
2020,2,Kaduna South,Male,1,4,29,42,29,14,16,11,146,2020 Q2,,
2020,2,Kaduna South,Female,2,2,20,12,12,8,2,4,62,2020 Q2,,
2020,2,Kagarko,Male,0,0,2,2,3,1,1,1,10,2020 Q2,,
2020,2,Kagarko,Female,0,0,2,2,2,0,0,1,7,2020 Q2,,
2020,2,Kajuru,Male,0,0,3,4,3,3,1,0,14,2020 Q2,,
2020,2,Kajuru,Female,0,0,1,4,0,1,1,0,7,2020 Q2,,
